cosmograph,tradition,region,dates,type,domain,topology,human_position,liberation_path,primary_sources
Relativistic Cosmos,Physics,Global,1915,Scientific,Universe,Curved Manifold,Observer,Knowledge,Einstein
Big Bang Universe,Physics,Global,1927+,Scientific,Universe,Expanding Space,Observer,Knowledge,Lemaître
Inflationary Universe,Physics,Global,1981+,Scientific,Universe,Multiverse,Observer,Knowledge,Guth
Cosmic Web,Astrophysics,Global,2000+,Scientific,Universe,Network,Observer,Knowledge,SDSS
Piaget Development,Psychology,Global,1952,Developmental,Mind,Stages,Child,Cognitive growth,Piaget
Kohlberg Development,Psychology,Global,1958,Developmental,Ethics,Stages,Moral actor,Ethical maturity,Kohlberg
Graves Emergent Cycles,Psychology,Global,1960s,Developmental,Values,Spiral,Person,Evolution,Graves
Loevinger Ego Development,Psychology,Global,1976,Developmental,Ego,Stages,Self,Development,Loevinger
Kegan Orders,Psychology,Global,1982,Developmental,Meaning,Stages,Subject-object self,Growth,Kegan
Spiral Dynamics,Integral,Global,1996,Developmental,Culture,Spiral,Participant,Evolution,Beck
AQAL,Integral,Global,1995,Integral,Reality,Multi-axis Matrix,Holon,Integral realization,Wilber
General Systems Theory,Systems,Global,1968,Systems,Reality,Network,System node,Adaptation,Bertalanffy
Cybernetics,Systems,Global,1948,Systems,Control,Feedback Loops,Agent,Regulation,Wiener
Autopoiesis,Systems,Global,1972,Systems,Life,Self-producing Network,Organism,Viability,Maturana
Gaia Theory,Systems,Global,1979,Ecological,Earth,Living Planet,Earth participant,Sustainability,Lovelock
Luhmann Social Systems,Sociology,Global,1984,Systems,Society,Communication Network,Observer,Understanding,Luhmann
Network Science,Complexity,Global,2000+,Information,Reality,Graph,Node,Understanding,Barabási
Information Cosmology,Physics,Global,1989+,Information,Reality,Information Structure,Observer,Knowledge,Wheeler
Integrated Information Theory,Consciousness,Global,2004+,Psychological,Consciousness,Information Geometry,Experiencer,Integration,Tononi
Semantic Web,Information,Global,2001+,Information,Knowledge,Graph,User,Knowledge,Berners-Lee
Wikidata,Information,Global,2012+,Knowledge,Knowledge,Graph,Contributor,Knowledge,Wikidata
OpenAlex,Information,Global,2022+,Knowledge,Science,Citation Graph,Researcher,Knowledge,OpenAlex
Embedding Space Cosmology,AI,Global,2013+,Cognitive,Meaning,Vector Space,Query point,Inference,word2vec
Foundation Model World Models,AI,Global,2020+,Cognitive,Reality,Latent Space,Agent,Prediction,Transformers
Agentic Cosmology,AI,Global,2025+,Cognitive,Knowledge,Dynamic Graph,Agent,Coordination,Multi-agent systems
